espanol,quechua_texto
¿Cómo se siente el día de hoy?,Imayna kashanki kunan punchawpi?
¿Dónde empezó el dolor?,Maypitaq qallarin chay nanay?
¿El dolor es fuerte o leve?,Sinchichu utaq pisillachu chay nanay?
¿Te duele más en la noche?,Sinchichu tuta nanasunqui?
¿Puedes mover el brazo sin dolor?,Rikraykita kuyuyta atinkichu mana nanaywan?
Te voy a medir la temperatura.,Ruphaykita tupaysaki kunan.
Voy a revisar tu presión arterial.,Yawar ñit’iykita tupusqayki.
Respira profundo por favor.,Allinta samayta apay.
Siéntate aquí para revisarte.,"Kaypi tiay, qhawaykusqayki."
Ponte de pie despacio.,Pisillawan sayariy.
Es una infección leve.,Kay onqoy pisilla.
Necesitas tratamiento rápido.,Usqhaytaa hampichikuyta necesitanki
Toma esta medicina todos los días.,Kay hampita sapa punchay ujayunki.
Aplica la pomada en la herida.,Chay hampita churay llagaman
Lava tus manos antes de comer.,Manaraq mihunki maylliy makiykita.
Bebe agua hervida.,Uhay unu thimputa
Descansa y no trabajes mucho.,"Samay, ama llamk’aychu sinchiyta."
Regresa en tres días para control.,Kimsa punchawpi kutimunki qhawasaki.
No comas comida grasosa.,Ama mihunkichu qhurpu mihunata.
Te duele el pecho al respirar?,Nanasunkicho q’asqoykita samayoctiki?
Tienes presión alta.,Yawar sinchi kanki.
Tienes presión baja.,Yawar pisi kanki.
¿Desde cuándo tienes fiebre?,Hayk’aqmantataq ruphay kanki?
Es un dolor muscular.,Kayqa aycha nanaymi.
Es un dolor de hueso.,Kayqa tullu nanaymi.
Voy a desinfectar la herida.,Chy llagata hampisaq
Coloca la venda correctamente.,Allinta watayta churay.
Tienes tos seca.,Kan kashanki chaqui uhuyuq
Tienes tos con flema.,Kan uhushanki qotuyucta
Hay flema en tu pecho.,Q’asqoykipi q'oto kashan.
No es una enfermedad grave.,Mana onqoyniqui sinchichu.
Puede ser grave si no te tratas.,Mana hampikuctiqui peorasunquiman.
Toma solo esta dosis.,Kay q’ipi hampillata upyay.
Vamos a cambiar la medicina.,Hampita kutichisunchik.
¿Tienes picazón en la piel?,Qaraykipichu seqsin?
Tu piel está sana.,Qarayki allinmi kashan.
Hay inflamación en esa parte.,Chaypi punkiy kan.
No bebas alcohol por ahora.,Kunanqa ama upyaychu.
Come solo comida ligera.,Pisilla mikhuyta mikhuy.
Te haré una revisión completa.,Tukuypi qhaway ruwasqayki.
