Columna 1;Columna 2;Columna1
Harawitam kuyasqay mamaypaq qillqasaq. Qichwapi simi patmap kaqninqa manam huk rikch'aqllachu. Qichwa simipi simikunaqa rimanakunapas sutikunapas pisi simikunapas kankumanmi.;Escribiré un poema para mi madre querida. En el quechua la estructura de la sílaba no es de una sola clase. Las palabras en quechua pueden ser verbos, nombres o partículas.;
Pacha Mamanchikqa tukuy imatam kawsananchikpaq uywapuwanchik. Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi.;Nuestra Madre Tierra se encarga de la crianza de alimentos para nuestra existencia. Los elementos del mundo no quedan estáticos, todo está en evolución. La fotosíntesis se produce con el calor y los rayos luminosos del sol.;
Qillqasqa paqarichiyqa Llapan Willanakuypa huk kaq atiyninmi. Allin kawsaypaq kamachikuyninchikkunata hunt'ananchikmi. Yachay wasipim warmakuna yachakuyta qispichinku. Qillqasqa umanchayqa qillqanapaq yuyaykuna paqarichiymi.;La producción de textos es una competencia del área de Comunicación. Tenemos que cumplir con nuestras normas de convivencia. En la escuela los niños logran aprender. La planificación del texto es generar ideas para la escritura.;
Qillqasqakunaqa allin chanin qillqasqawanmi kananku. Yachay wasipim warmakuna yachakuyta qispichinku. Hukllachasqa qillqayqa allinmi huk niraqllata qillqanapaq. Qillqasqa paqarichiyqa Llapan Willanakuypa huk kaq atiyninmi.;Los textos tienen que estar escritos con buena ortografía. En la escuela los niños logran aprender. La normalización de la escritura es buena para escribir de una sola manera. La producción de textos es una competencia del área de Comunicación.;
Qhipa wiñaqkunaqa ayllup chaninkunata chinkachichkanku, hinatam machu runakuna ninku. Qichwa runa kawsayqa may chaninmi. Sapa ayllupim yachaqkunaqa yachayninta riqsichiwanchik. Llapankunami aktaman shutiqillqankunata churayashqa.;Los ancianos dicen que los jóvenes de ahora están perdiendo los valores comunales. La cultura del pueblo quechua es muy valiosa. En cada comunidad los sabios nos dan a conocer sus saberes. Todos pusieron su firma en el acta.;
Qayna p'unchawqa muhuta huqarirqanchik, kunantaq uqata tarpusunchik. Parapas, chikchipas, muyuq wayrapas Pacha Mamap kawsayninmi kanku. Pacha Mamataqa ninawan kachaykuspam waqllichinchik.;Ayer recogimos las semillas, hoy sembraremos ocas. Son fenómenos naturales la lluvia, la granizada y los huracanes. Quemando el entorno estamos generando contaminación ambiental.;
Harawitam kuyasqay mamaypaq qillqasaq. Qillqasqa umanchayqa qillqanapaq yuyaykuna paqarichiymi. Qillqasqakunaqa allin chanin qillqasqawanmi kananku. Yachay wasipim warmakuna yachakuyta qispichinku.;Escribiré un poema para mi madre querida. La planificación del texto es generar ideas para la escritura. Los textos tienen que estar escritos con buena ortografía. En la escuela los niños logran aprender.;
Llaqtanchikpa willakuykunata ch'iqirichisun. Mirkapanchikta taqay wakcha runakunata yawachishun. Llaqtakunaqa kawsayninchikmanhina ari t'aqanakunchikpas, sutiyanakunchikpas. Sapa ayllupim yachaqkunaqa yachayninta riqsichiwanchik.;Hay que difundir las narraciones de nuestro pueblo. Compartamos nuestro refrigerio con aquellas personas pobres. Las sociedades, así como los hombres, nos dividimos y nos damos un nombre. En cada comunidad los sabios nos dan a conocer sus saberes.;
Pacha Mamataqa ninawan kachaykuspam waqllichinchik. Pacha Mama waqaychaytaqa wawanchikkunamanpas yachachinanchikmi. Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin. Usya killakunachawqa chaqchuqllawanmi mallkikunata parqunchik.;Quemando el entorno estamos generando contaminación ambiental. La conservación del ambiente es algo que debemos enseñar a nuestros hijos. Los elementos del mundo no quedan estáticos, todo está en evolución. En los meses secos regamos las plantas con el aspersor.;
Yachakuqpa siminkuna riqsiyqa mayqan simikunapi llamk'ananchiktam yanapawanchik. Qillqasqa paqarichiyqa Llapan Willanakuypa huk kaq atiyninmi. Qichwa simipi simikunaqa rimanakunapas sutikunapas pisi simikunapas kankumanmi. Yachachiqqa ancha yachayninta yachakuqkunaman mirarichinanmi.;Realizar la caracterización psicolingüística nos ayuda a planificar en qué lengua trabajar. La producción de textos es una competencia del área de Comunicación. Las palabras en quechua pueden ser verbos, nombres o partículas. El profesor debe transmitir sus saberes a los estudiantes.;
Yupanaqa shumaqmi, yupakamayuqqa ruranallami. Aypuqqa manami chusaq kanmantsu. Yupakunata ñiqichay, yupana ruraymi qichuyqa. Kay pakikunata chunkayashqa yupakunaman tikrachiy.;Las matemáticas son divertidas, la aritmética es muy fácil. El divisor no puede ser cero. Ordena estos números, la resta es una operación matemática. Convierte estas fracciones a números decimales.;
Pichqakuchuqa huk laaya patsatupu siqimi. Chiqanakuna tiqichaw pakayupata ashiy. Ishkay chimpashqa pakipa yapanqa chusaqmi. Chuskukuchu qullqapa hananta tariy.;El pentágono es un tipo de figura geométrica. Ubica la ecuación en el gráfico de rectas. La suma de dos fracciones opuestas es cero. Halla la altura de este prisma cuadrangular.;
Pacha Mamataqa ninawan kachaykuspam waqllichinchik. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi. Usya killakunachawqa chaqchuqllawanmi mallkikunata parqunchik. Chakranchikkunapiqa ñawra kawsaykunatam uywananchik.;Quemando el entorno estamos generando contaminación ambiental. La fotosíntesis se produce con el calor y los rayos luminosos del sol. En los meses secos regamos las plantas con el aspersor. En nuestras chacras debemos criar diversidad de alimentos.;
Simi qullqapi musuq simikunata maskhaychik. Sutikunaqa achahap qillqankunawanmi qillqakun. Hukllachasqa qillqayqa allinmi huk niraqllata qillqanapaq. Qichwapi simi patmap kaqninqa manam huk rikch'aqllachu.;Busquen las palabras nuevas en el diccionario. Los nombres se escriben con las letras del alfabeto. La normalización de la escritura es buena para escribir de una sola manera. En el quechua la estructura de la sílaba no es de una sola clase.;
Qillqasqakunaqa allin chanin qillqasqawanmi kananku. Qichwapi simi patmap kaqninqa manam huk rikch'aqllachu. Yachakuqpa siminkuna riqsiyqa mayqan simikunapi llamk'ananchiktam yanapawanchik.;Los textos tienen que estar escritos con buena ortografía. En el quechua la estructura de la sílaba no es de una sola clase. Realizar la caracterización psicolingüística nos ayuda a planificar en qué lengua trabajar.;
Simi qullqapi musuq simikunata maskhaychik. Allin kawsaypaq kamachikuyninchikkunata hunt'ananchikmi. Yachakuqkunaqa runa simipi allintam ñawinchachkanku. Harawitam kuyasqay mamaypaq qillqasaq.;Busquen las palabras nuevas en el diccionario. Tenemos que cumplir con nuestras normas de convivencia. Los estudiantes están leyendo muy bien en quechua. Escribiré un poema para mi madre querida.;
Hukllachasqa qillqayqa allinmi huk niraqllata qillqanapaq. Qillqasqa paqarichiyqa Llapan Willanakuypa huk kaq atiyninmi. Qichwapi simi patmap kaqninqa manam huk rikch'aqllachu. Qillqasqa umanchayqa qillqanapaq yuyaykuna paqarichiymi.;La normalización de la escritura es buena para escribir de una sola manera. La producción de textos es una competencia del área de Comunicación. En el quechua la estructura de la sílaba no es de una sola clase. La planificación del texto es generar ideas para la escritura.;
Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi. Pacha Mamataqa ninawan kachaykuspam waqllichinchik.;Los elementos del mundo no quedan estáticos, todo está en evolución. La fotosíntesis se produce con el calor y los rayos luminosos del sol. Quemando el entorno estamos generando contaminación ambiental.;
Pacha Mamanchikqa tukuy imatam kawsananchikpaq uywapuwanchik. Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan. Qhali kawsayta tarinanchikpaqqa Pacha Mamanchikwanpas ayllunchikwanpas sumaqtam kawsananchik.;Nuestra Madre Tierra se encarga de la crianza de alimentos para nuestra existencia. En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo. Para encontrar una vida saludable debemos vivir en armonía con nuestra Madre Naturaleza y nuestro ayllu.;
Yachakuq wawakunapas ayllu ruraykunapiqa yanapakunkum. Qichwa runa kawsayqa may chaninmi. Llapa imap sutinmi sutiqa. Kaqninchikkuna yupaychasqa kananpaqqa ñuqanchikpas hukkunap kaqninta yupaychananchikmi.;Los niños estudiantes también ayudan en las actividades comunales. La cultura del pueblo quechua es muy valiosa. El sustantivo es el nombre de todas las cosas. Para que nuestros derechos sean respetados, nosotros también debemos respetar los derechos de los demás.;
Qillqasqa umanchayqa qillqanapaq yuyaykuna paqarichiymi. Simi qullqapi musuq simikunata maskhaychik. Rimaypa kaqninkunaqa ruraqwan rimasqawan. Yachachiqqa ancha yachayninta yachakuqkunaman mirarichinanmi.;La planificación del texto es generar ideas para la escritura. Busquen las palabras nuevas en el diccionario. Los elementos de la oración son el sujeto y el predicado. El profesor debe transmitir sus saberes a los estudiantes.;
Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin. Alli chakra-aruqqa shumaq killata rikarkur imatapis rurayta qallaykun. Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan. Pacha Mamanchikqa tukuy imatam kawsananchikpaq uywapuwanchik.;Los elementos del mundo no quedan estáticos, todo está en evolución. Un buen agricultor observa bien la luna antes de empezar a hacer algo. En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo. Nuestra Madre Tierra se encarga de la crianza de alimentos para nuestra existencia.;
Qhipa wiñaqkunaqa ayllup chaninkunata chinkachichkanku, hinatam machu runakuna ninku. Llapankunami aktaman shutiqillqankunata churayashqa. Kaqninchikkuna yupaychasqa kananpaqqa ñuqanchikpas hukkunap kaqninta yupaychananchikmi. Mirkapanchikta taqay wakcha runakunata yawachishun.;Los ancianos dicen que los jóvenes de ahora están perdiendo los valores comunales. Todos pusieron su firma en el acta. Para que nuestros derechos sean respetados, nosotros también debemos respetar los derechos de los demás. Compartamos nuestro refrigerio con aquellas personas pobres.;
Qichwa runa kawsayqa may chaninmi. Llapankunami aktaman shutiqillqankunata churayashqa. Kaqninchikkuna yupaychasqa kananpaqqa ñuqanchikpas hukkunap kaqninta yupaychananchikmi. Mirkapanchikta taqay wakcha runakunata yawachishun.;La cultura del pueblo quechua es muy valiosa. Todos pusieron su firma en el acta. Para que nuestros derechos sean respetados, nosotros también debemos respetar los derechos de los demás. Compartamos nuestro refrigerio con aquellas personas pobres.;
Yachakuqkunaqa runa simipi allintam ñawinchachkanku. Allin kawsaypaq kamachikuyninchikkunata hunt'ananchikmi. Qillqasqakunaqa allin chanin qillqasqawanmi kananku. Yachachiqqa ancha yachayninta yachakuqkunaman mirarichinanmi.;Los estudiantes están leyendo muy bien en quechua. Tenemos que cumplir con nuestras normas de convivencia. Los textos tienen que estar escritos con buena ortografía. El profesor debe transmitir sus saberes a los estudiantes.;
Llaqtakunaqa kawsayninchikmanhina ari t'aqanakunchikpas, sutiyanakunchikpas. Sapa ayllupim yachaqkunaqa yachayninta riqsichiwanchik. Llapa imap sutinmi sutiqa. Yachakuq wawakunapas ayllu ruraykunapiqa yanapakunkum.;Las sociedades, así como los hombres, nos dividimos y nos damos un nombre. En cada comunidad los sabios nos dan a conocer sus saberes. El sustantivo es el nombre de todas las cosas. Los niños estudiantes también ayudan en las actividades comunales.;
Qayna p'unchawqa muhuta huqarirqanchik, kunantaq uqata tarpusunchik. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi. Qhali kawsayta tarinanchikpaqqa Pacha Mamanchikwanpas ayllunchikwanpas sumaqtam kawsananchik. Usya killakunachawqa chaqchuqllawanmi mallkikunata parqunchik.;Ayer recogimos las semillas, hoy sembraremos ocas. La fotosíntesis se produce con el calor y los rayos luminosos del sol. Para encontrar una vida saludable debemos vivir en armonía con nuestra Madre Naturaleza y nuestro ayllu. En los meses secos regamos las plantas con el aspersor.;
Qillqasqa umanchayqa qillqanapaq yuyaykuna paqarichiymi. Qichwa simipi simikunaqa rimanakunapas sutikunapas pisi simikunapas kankumanmi. Qillqasqakunaqa allin chanin qillqasqawanmi kananku.;La planificación del texto es generar ideas para la escritura. Las palabras en quechua pueden ser verbos, nombres o partículas. Los textos tienen que estar escritos con buena ortografía.;
Qayna p'unchawqa muhuta huqarirqanchik, kunantaq uqata tarpusunchik. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi. Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan. Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin.;Ayer recogimos las semillas, hoy sembraremos ocas. La fotosíntesis se produce con el calor y los rayos luminosos del sol. En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo. Los elementos del mundo no quedan estáticos, todo está en evolución.;
Qillqasqa umanchayqa qillqanapaq yuyaykuna paqarichiymi. Yachakuqpa siminkuna riqsiyqa mayqan simikunapi llamk'ananchiktam yanapawanchik. Qillqasqa paqarichiyqa Llapan Willanakuypa huk kaq atiyninmi. Yachachiqqa ancha yachayninta yachakuqkunaman mirarichinanmi.;La planificación del texto es generar ideas para la escritura. Realizar la caracterización psicolingüística nos ayuda a planificar en qué lengua trabajar. La producción de textos es una competencia del área de Comunicación. El profesor debe transmitir sus saberes a los estudiantes.;
Qayna p'unchawqa muhuta huqarirqanchik, kunantaq uqata tarpusunchik. Chakranchikkunapiqa ñawra kawsaykunatam uywananchik. Pacha Mamanchikqa tukuy imatam kawsananchikpaq uywapuwanchik. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi.;Ayer recogimos las semillas, hoy sembraremos ocas. En nuestras chacras debemos criar diversidad de alimentos. Nuestra Madre Tierra se encarga de la crianza de alimentos para nuestra existencia. La fotosíntesis se produce con el calor y los rayos luminosos del sol.;
Usya killakunachawqa chaqchuqllawanmi mallkikunata parqunchik. Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin. Pacha Mamataqa ninawan kachaykuspam waqllichinchik.;En los meses secos regamos las plantas con el aspersor. Los elementos del mundo no quedan estáticos, todo está en evolución. Quemando el entorno estamos generando contaminación ambiental.;
Qillqasqa paqarichiyqa Llapan Willanakuypa huk kaq atiyninmi. Yachakuqpa siminkuna riqsiyqa mayqan simikunapi llamk'ananchiktam yanapawanchik. Qillqasqakunaqa allin chanin qillqasqawanmi kananku.;La producción de textos es una competencia del área de Comunicación. Realizar la caracterización psicolingüística nos ayuda a planificar en qué lengua trabajar. Los textos tienen que estar escritos con buena ortografía.;
